text,class
'Roots Roots 女裝 都 會 探索 系列 環保材質 彈性 長裙',衣/下身類
'JILLI KO 後 腰 鬆緊丹 寧 顯瘦中 長裙 垂墜 A 字 牛仔裙',衣/下身類
'初色 素色 寬 鬆 顯瘦鬆 緊 高腰大 口袋 半身 A 字 裙 中 長裙',衣/下身類
'Amore 初秋 百搭 輕柔 舒適 長裙',衣/下身類
'SISTERS 復古 刷色 顯瘦 修身 A 字 牛仔裙 長裙',衣/下身類
'巴黎 精品 半身裙 長裙',衣/下身類
'SISTERS 很顯 瘦 的 素色 後 開 衩 鬆緊腰 牛仔 長裙',衣/下身類
'OB 嚴選 小腰 精棉質 落地 牛仔 長裙',衣/下身類
'Amore 韓版 高腰 層次 感網 紗裙',衣/下身類
'SISTERS 很顯 瘦百搭 的 大 口袋 丹寧 寬褲 褲裙 牛仔褲',衣/下身類
'AnZa 格紋 毛呢 保暖 九分 寬 褲闊 腿 褲',衣/下身類
'Shiny 藍 格子 素色 腰鬆 緊 不規則 假兩件 褲裙',衣/下身類
'Lydia 現貨 日系 學院 風側 拉鏈 高腰 百褶裙 短褲',衣/下身類
'SISTERS 輕丹寧貓 咪 口袋 牛仔 寬褲 裙',衣/下身類
'Amore 韓版 親膚 多色 冰絲 短褲',衣/下身類
'AREXSPORT 假兩件 登山 壓力 褲 假兩件 運動 褲 女壓力 褲 大碼 壓力 褲 緊身 褲 長褲',衣/下身類
'OB 嚴選 涼感彈 力 鬆緊腰 長褲',衣/下身類
'KeyWear 奇 威名 品 時尚格 紋 不 對 襯 運動 風褲 裙',衣/下身類
'ONEY 歐妮 涼爽 氣質 仙女 闊腿 褲裙',衣/下身類
'LANNI 藍尼 工裝感 休閒 舒適 褲裙',衣/下身類
'ONEY 歐妮 舒適 休閒 工裝 感褲 裙',衣/下身類
'ASister 小姊姊 牛仔裙 長裙 加大 尺碼 超顯 瘦 日系 抽繩 牛仔 開叉 A 字 長裙',衣/下身類
'ASister 小姊姊 牛仔裙 加大 尺碼 顯 瘦高 腰 收腹 A 字 牛仔裙 長裙',衣/下身類
'D studio 韓版高 腰側 開叉 牛仔 A 字 裙',衣/下身類
'Shiny 藍 格子 高腰 顯瘦 包 臀 開叉 擺 牛仔 中長 A 字 裙',衣/下身類
'5th STREET 女裝刷色 牛仔 短裙',衣/下身類
'Master Max 後 鬆 緊腰頭 水洗 感 休閒 牛仔 長裙',衣/下身類
'Amore 經典 氣質 修身 牛仔 開衩 長裙',衣/下身類
'初色 復古 高腰 顯瘦 休閒 百搭 透氣 水洗 牛仔裙 A 字 裙 中 長裙 半身裙',衣/下身類
'初色 小香風 粗花 毛呢 針織 混亮 絲高 腰顯 瘦 A 字 裙 短裙 中 長裙 半身裙',衣/下身類
'ADISI 女吸 濕速 乾 修身 運動 短裙',衣/下身類
'BLUE WAY 女裝 後 立體 口袋 短裙 裙子',衣/下身類
'Iris Girls 艾莉詩 甜美 滿分 百褶 短裙',衣/下身類
'Le Polka 浪花 印花 A 字 短裙 女',衣/下身類
'CHACO 韓系漸 變色 亮片 星星 仙女 網紗 半身 長裙',衣/下身類
'CHACO 優雅立體 花朵 刺 繡 網紗 半身 長裙',衣/下身類
'gozo 壓 褶鬆緊 造型 紗裙',衣/下身類
'IENA 浪漫 珠光 網紗裙',衣/下身類
'iROO 飄逸 網紗 長裙',衣/下身類
'初色 現貨 網紗氣 質顯 瘦高 腰 百褶 A 字 半身裙',衣/下身類
'buyer 白鵝 夢幻 拼色紗 腰鬆緊 長裙 紗裙',衣/下身類
'CHACO 女高腰 優雅立體 蝴蝶 刺 繡 網紗 半身 長裙',衣/下身類
'Chudan 初丹 假兩件 拼接 長 紗裙',衣/下身類
'BUFFALO 平口褲',衣/內著類
'科克 蘭 平口褲',衣/內著類
'風神 紳仕 免洗 平口褲',衣/內著類
'QUEENSHOP S 女裝 撞色 綁 帶 設計 細肩 背心',衣/內著類
'W AIRism 棉質 BRATOP 平口 背心',衣/內著類
'柔軟羅紋 坦克 背心',衣/內著類
'棉質 背心',衣/內著類
'無袖 運動 背心',衣/內著類
'內搭 發熱衣',衣/內著類
'內搭 背心',衣/內著類
'內襯 安全 褲',衣/內著類
'挺胸 美 BRATOP 細肩 帶 背心',衣/內著類
'棉質 內衣',衣/內著類
'無鋼圈 內衣',衣/內著類
'運動 型 內衣',衣/內著類
'蕾絲 內衣',衣/內著類
'壓力 內衣',衣/內著類
'無縫 內褲',衣/內著類
'三角 內褲',衣/內著類
'四角 內褲',衣/內著類
'低腰 內褲',衣/內著類
'高腰 內褲',衣/內著類
'男士 平角 內褲',衣/內著類
'女士 安全 褲',衣/內著類
'發熱 內衣',衣/內著類
'保暖 內衣 套裝',衣/內著類
'內搭 發熱 背心',衣/內著類
'男士 內衣 背心',衣/內著類
'女士 無痕 內衣',衣/內著類
'吸濕 排汗 內衣',衣/內著類
'全棉 內褲',衣/內著類
'輕薄 內衣',衣/內著類
'男士 秋衣 秋褲',衣/內著類
'女士 內搭 褲',衣/內著類
'孕婦 內衣 褲',衣/內著類
'護理 內衣',衣/內著類
'大碼 內衣',衣/內著類
'抗菌 內衣 褲',衣/內著類
'冰絲 內褲',衣/內著類
'兒童 內衣 套裝',衣/內著類
'內衣 加厚 襯墊',衣/內著類
'蕾絲 吊帶 內衣',衣/內著類
'親膚 無痕 內衣',衣/內著類
'純棉 背心',衣/內著類
'無袖 內搭 衫',衣/內著類
'內衣 肩帶',衣/內著類
'運動 內搭 褲',衣/內著類
'內搭 安全 褲',衣/內著類
'防曬 內搭 衣',衣/內著類
'彈性 內衣 褲',衣/內著類
'防靜電 內衣',衣/內著類
'PUMA 男短襪',衣/內著類
'日拋 中筒 免洗 襪',衣/內著類
'半統 襪',衣/內著類
'白色 U 領 內衣',衣/內著類
'休閒 襪',衣/內著類
'防走光 矽膠 胸貼',衣/內著類
'兩穿 式 軟 鋼圈 成套 內衣',衣/內著類
'活力 免洗 船型 襪',衣/內著類
'清秀佳人 三角 免洗 褲',衣/內著類
'精品 免洗 休閒 襪',衣/內著類
襪子,衣/內著類
'秋冬 毛襪',衣/內著類
'隱形 襪',衣/內著類
'壓力 襪',衣/內著類
'保暖 內衣 褲',衣/內著類
內衣,衣/內著類
內褲,衣/內著類
'透氣 運動 內衣',衣/內著類
'冰絲 無痕 內衣 套裝',衣/內著類
'SISTERS 雙色 拼接 內 磨毛 假兩件 短裙 內搭 褲',衣/內著類
'SISTERS MIT 抗寒 保暖 內 磨毛 短裙 假兩件 內搭 褲',衣/內著類
'OB 嚴選 假兩件 式 交叉 層次 裙 襬 包 臀 短裙 內搭 褲',衣/內著類
'保暖 褲襪',衣/其它
'adidas 愛迪達 慢跑鞋 運動 鞋',衣/其它
'UNDER ARMOUR UA 男女 款 慢跑鞋 運動 鞋',衣/其它
'CROCODILE 都 會 迷彩 前 開式 雨衣',衣/其它
'丁晴 橡膠 手套',衣/其它
'成人 PE 輕巧 雨衣',衣/其它
'花花 削肩 美胸 比基尼',衣/其它
'帶 胸墊 睡衣 睡衣 女 夏季 短袖 薄款 春 夏天 純棉 睡衣 女士 睡衣',衣/其它
'悠活 緩壓 室外 拖鞋',衣/其它
'琨 蒂 絲 美腿 魅惑 小網 彈性 褲襪',衣/其它
'萬聖 變裝',衣/其它
'運動 休閒 裝',衣/其它
'新式 運動 鞋',衣/其它
'睡衣 女 夏季 短袖 短裤 睡衣 带 胸垫',衣/其它
'顯瘦 增高 時尚 跟 鞋 低 跟包 鞋 微方頭 平底 休閒 鞋 禮鞋',衣/其它
'睡衣 套裝',衣/其它
'防曬 手套',衣/其它
'毛線 帽',衣/其它
遮陽帽,衣/其它
'防水 鞋套',衣/其它
'皮革 手套',衣/其它
'腳底 隱形 鞋墊',衣/其它
'棉質 睡帽',衣/其它
護膝,衣/其它
'運動 護腕',衣/其它
'女包 側 背包 半月 包',衣/其它
'NIKE 耐吉 輕量 慢跑鞋 男女 款 運動 鞋',衣/其它
'PUMA 彪 馬 全 地形 越野跑 鞋 登山鞋',衣/其它
'GORE TEX 防水 透氣 外套 男款 風 雨衣',衣/其它
'花色 刺 繡 防曬 遮陽帽 寬邊 帽',衣/其它
'成人 一次性 防護 雨衣 輕便 攜帶',衣/其它
'高筒 保暖 雪靴',衣/其它
'高彈性 運動 護膝 保護 裝備',衣/其它
'冬季 加絨觸 屏 手套',衣/其它
'兒童 卡通 圖案 雨靴 防水 鞋',衣/其它
'時尚 壓力 褲襪 彈性 塑腿 襪',衣/其它
'夏日 防曬 袖套',衣/其它
'休閒 百搭小白鞋 透氣 帆布鞋',衣/其它
'居家 棉質 睡衣 套裝 長袖 長褲',衣/其它
'多功能 運動 腰包 戶外 跑步 用',衣/其它
'日 系花 邊 睡帽 棉質 柔軟 舒適',衣/其它
'經典 款 翻 毛皮 樂福鞋',衣/其它
'花色 泳衣 女 神秘 印花 比基尼',衣/其它
'針織 圍巾',衣/其它
'時尚 百搭皮 帶 真皮 腰帶',衣/其它
'耐用 橡膠 手套 廚房 清潔 專用',衣/其它
'軟底 室內 拖鞋 防滑 居家 鞋',衣/其它
'訓練用 運動 護腕 透氣 吸汗',衣/其它
'時尚 潮流 背包 多功能 雙肩包',衣/其它
'防滑 鞋墊 透氣 吸濕 鞋墊',衣/其它
'室內 拖鞋 購買',衣/其它
'土豆 星球 牛頭牌 台灣 鞋 土豆 系列 商品 土豆 二代',衣/其它
'土豆 星球 牛頭牌 台灣 鞋 土豆 系列 商品 土豆 廚師 鞋',衣/其它
'酷狗 寶貝 牛仔 吊帶 褲',衣/長衣類
'中 長款 西裝 外套',衣/長衣類
'羊毛 大衣',衣/長衣類
'鋪 棉大衣',衣/長衣類
'牛角 扣 大衣',衣/長衣類
'長版 針織 毛衣',衣/長衣類
'連帽 長版 衛衣',衣/長衣類
'襯衫式 長版 外套',衣/長衣類
'連身 洋裝',衣/長衣類
'雙排 扣 長版 風衣',衣/長衣類
'輕羽絨 長版 外套',衣/長衣類
'長版 羽絨服',衣/長衣類
'中式 長 衫',衣/長衣類
和服,衣/長衣類
'長版 羊毛 大衣',衣/長衣類
'寬鬆 長版 針織衫',衣/長衣類
'襯衫式 連身 裙',衣/長衣類
'連帽 長版 抓絨 外套',衣/長衣類
'長版 防風 防水 夾克',衣/長衣類
'毛絨 長版 外套',衣/長衣類
'中 長版 襯衫 裙',衣/長衣類
'長版 西裝 外套',衣/長衣類
'長款 牛仔 外套',衣/長衣類
'長版 法蘭絨 外套',衣/長衣類
'長版 連帽 斗篷',衣/長衣類
'長版 針織連 衣裙',衣/長衣類
'寬鬆 長版 連帽 毛衣',衣/長衣類
'及 膝 長版 棉服',衣/長衣類
'寬鬆 長版 襯衫 裙',衣/長衣類
'韓版 中 長款 連帽 外套',衣/長衣類
'長版 防曬 外套',衣/長衣類
'長版 衝鋒衣',衣/長衣類
'長版 無袖連 衣裙',衣/長衣類
'長版 雙面 穿 大衣',衣/長衣類
'寬鬆 長版 工裝 外套',衣/長衣類
'長版 羊絨 外套',衣/長衣類
'長版 仿皮 草 大衣',衣/長衣類
'中 長款 皮革 風衣',衣/長衣類
'長款 襯衫式 外套',衣/長衣類
'長版 運動 風連帽 外套',衣/長衣類
'連帽 長版 羽絨 馬甲',衣/長衣類
'長版 休閒 運動 裙',衣/長衣類
'連身 長裙',衣/長衣類
'中 長款 禮服 裙',衣/長衣類
'寬鬆 長版 防風衣',衣/長衣類
'長版 背心 連 衣裙',衣/長衣類
'長版 針織 開衫',衣/長衣類
'長版 長袖 襯衫 裙',衣/長衣類
'長版 工裝 夾克',衣/長衣類
'中 長款 襯衫式連 衣裙',衣/長衣類
'長版 休閒 風衣 外套',衣/長衣類
'初色 雪紡 簡約 純色 中 腰 短袖 口袋 荷葉邊 裙 中 長裙 連 衣裙 連身 洋裝',衣/長衣類
'Amore 初秋 多色 長版 優雅氣 質洋裝',衣/長衣類
'艾美時 尚 女裝 丹寧 長裙 減齡後開 衩 休閒 牛仔 吊帶 裙',衣/長衣類
'ONEY 歐妮 月牙 吊帶 開岔 兩側 口袋 牛仔裙',衣/長衣類
'漂亮 小媽 咪 夏日 背心 長裙 無袖 親膚 吊帶 裙 孕婦裝 背心 裙 背心 洋裝',衣/長衣類
'漂亮 小媽 咪 夏日 背 後 壓 摺 背心 長裙 無袖 棉麻 吊帶 裙 口袋 背心 裙',衣/長衣類
'OB 嚴選 百搭 素色 質感 長袖 洋裝',衣/長衣類
'艾美時 尚 中大尺 碼 女裝 背帶 裙 減齡 丹寧 背心 牛仔 網紗 吊帶 裙',衣/長衣類
'台鐵 區間 車票',行/台鐵
'台鐵 自強號 車票',行/台鐵
'台鐵 月台票',行/台鐵
'台鐵 便當',行/台鐵
'台鐵 觀光 列車',行/台鐵
'台鐵 復 興號 車票',行/台鐵
'台鐵 鐵道 紀念品 購買',行/台鐵
'台鐵 站 內 自動 售票 機購票',行/台鐵
'台鐵 車廂 內 零食 購買',行/台鐵
'台鐵 行李 托運 服務',行/台鐵
'台鐵 車廂 升 等',行/台鐵
'台鐵 團體票',行/台鐵
'台鐵 訂票 手續費',行/台鐵
'台鐵 電子 票券 充值',行/台鐵
'台鐵 電子票 卡 購買',行/台鐵
'台鐵 通勤 族 定期 票',行/台鐵
'台鐵 郵輪式 列 車票',行/台鐵
'台鐵 車站 手推 車 租借',行/台鐵
'台鐵 自行車 攜帶票',行/台鐵
'台鐵 車站 儲物櫃 租借',行/台鐵
'台鐵 候車室 飲料 購買',行/台鐵
'台鐵 平日 早鳥票',行/台鐵
'台鐵 兒童 優惠票',行/台鐵
'台鐵 車站 接駁車',行/台鐵
'台鐵 車內 點心 購買',行/台鐵
'台鐵 旅遊 套票',行/台鐵
'台鐵 團體 旅遊 票',行/台鐵
'台鐵 公司 福利 票',行/台鐵
'台鐵 學生票',行/台鐵
'台鐵 車站 周邊 旅遊 導覽',行/台鐵
'台鐵 列車 內 便當 預訂',行/台鐵
'台鐵 票務 更改 手續費',行/台鐵
'台鐵 臥鋪 車廂 票',行/台鐵
'台鐵 國際 遊客 通行 卡',行/台鐵
'台鐵 車廂 內 咖啡 購買',行/台鐵
'台鐵 會員積 分兌 換票',行/台鐵
'台鐵 家庭 套票',行/台鐵
'台鐵 觀光 列車 特色 便當',行/台鐵
'台鐵 長 者 優惠票',行/台鐵
'台鐵 站 內 自動 售票 機 充值',行/台鐵
'台鐵 列車 內 Wi Fi 使用 費',行/台鐵
'台鐵 特殊 行程 包 車票',行/台鐵
'台鐵 站 內 便當 預購 服務',行/台鐵
'台鐵 自助 售票 機 充值',行/台鐵
'台鐵 平日 促銷票',行/台鐵
'台鐵 貓空 觀光列 車票',行/台鐵
'台鐵 手工 月台票',行/台鐵
'台鐵 特快 車優惠票',行/台鐵
'台鐵 節日 加班 車票',行/台鐵
'台鐵 行李 保險 服務',行/台鐵
'台鐵 綠島號 船車 聯票',行/台鐵
'台鐵 列車 內 冷 飲 購買',行/台鐵
'台鐵 推車 租借 服務',行/台鐵
'台鐵 站 內 按摩椅 使用 費',行/台鐵
'台鐵 青年 旅行 卡',行/台鐵
'台鐵 車票 優惠券 兌換',行/台鐵
'台鐵 公司 員工 折扣票',行/台鐵
'台鐵 觀光 列車 車廂 租賃',行/台鐵
'台鐵 列車 內 圖書 借閱 服務',行/台鐵
'台鐵 團體 旅遊 票申 請費',行/台鐵
'台鐵 長 程 旅遊 行李 配送',行/台鐵
'台鐵 站 內 便利店 消費',行/台鐵
'自行車 輪胎 更換',行/自行車
'自行車 打氣 站 費用',行/自行車
'自行車 燈具 購買',行/自行車
'自行車 車架 維修',行/自行車
'自行車 變速器 更換',行/自行車
'自行車 車座 升級',行/自行車
'自行車 剎車線 維修',行/自行車
'自行車 行李架 購買',行/自行車
'自行車 水壺 架 購買',行/自行車
'自行車 夜間 反光 條',行/自行車
'自行車 運動 眼鏡 購買',行/自行車
'自行車 專業 手套',行/自行車
'自行車 防水 車罩',行/自行車
'自行車 折疊鎖 購買',行/自行車
'自行車 車鈴 購買',行/自行車
'自行車 擋 泥板 安裝',行/自行車
'自行車 鏈條潤 滑劑',行/自行車
'自行車 車燈 更換',行/自行車
'自行車 水壺 座 安裝',行/自行車
'自行車 修理 工具 組',行/自行車
'自行車 專用 頭盔',行/自行車
'自行車 運動 手套',行/自行車
'自行車 專用 踏板',行/自行車
'自行車 輪胎 氣嘴',行/自行車
'自行車 手機 支架 購買',行/自行車
'自行車 碼表',行/自行車
'自行車 變速器 調整 服務',行/自行車
'自行車 防水 車包',行/自行車
'自行車 腳 踏板 更換',行/自行車
'自行車 鏈條 清潔 工具',行/自行車
'自行車 專用 車架 安裝',行/自行車
'自行車 兒童 座椅 購買',行/自行車
'自行車 防曬 座墊',行/自行車
'自行車 專用鎖',行/自行車
'自行車 騎行 眼鏡',行/自行車
'自行車 運動 帽',行/自行車
'自行車 風鏡',行/自行車
'自行車 反光 條 購買',行/自行車
'自行車 避震 系統 升級',行/自行車
'自行車 車座 海綿 墊',行/自行車
'自行車 專業 維修 工具',行/自行車
'自行車 打氣筒 購買',行/自行車
'自行車 摺疊 工具包',行/自行車
'自行車 專用 車廂',行/自行車
'自行車 車輪軸承 購買',行/自行車
'自行車 避震器 升級',行/自行車
'自行車 碟 煞 更換',行/自行車
'自行車 鏈條潤 滑劑 購買',行/自行車
'自行車 車燈 安裝 服務',行/自行車
'自行車 變速 系統 調整',行/自行車
'自行車 車 座套 購買',行/自行車
'自行車 水壺 架 固定器',行/自行車
'自行車 兒童 座椅 維修',行/自行車
'自行車 防水 車包 購買',行/自行車
'自行車 手把 維護',行/自行車
'自行車 輪胎 防滑 胎 購買',行/自行車
'自行車 車鈴 更換',行/自行車
'自行車 安全帽 清潔 服務',行/自行車
'自行車 專用 雨衣 購買',行/自行車
'自行車 專用 工具 組',行/自行車
'自行車 防盜 設備 安裝',行/自行車
'自行車 專用 騎行 襪',行/自行車
'自行車 手電筒',行/自行車
'自行車 停車 架 安裝',行/自行車
'汽車 加油',行/汽車
'汽車 機油 更換',行/汽車
'汽車 停車費',行/汽車
'高速公路 過路費',行/汽車
'汽車 保養',行/汽車
'汽車 美容',行/汽車
'汽車 雨刷 更換',行/汽車
'汽車 輪胎 平衡 調整',行/汽車
'高速公路 計次票 購買',行/汽車
'汽車 冷氣 濾網 更換',行/汽車
'汽車 GPS 導航 系統 購買',行/汽車
'汽車 行車 記錄器 購買',行/汽車
'汽車 電瓶 更換',行/汽車
'汽車 年 檢費用',行/汽車
'汽車 租賃',行/汽車
'汽車 機油 添加 劑',行/汽車
'汽車 刮水器 更換',行/汽車
'車內 空氣 清新 劑 購買',行/汽車
'汽車 輪胎 充氣 服務',行/汽車
'電動 車充電 服務',行/汽車
'車輛 拖吊 服務',行/汽車
'高速公路 服務 區停 車費',行/汽車
'汽車 年檢 排放 測試費',行/汽車
'車內 除 濕袋 購買',行/汽車
'汽車 電子 狗 購買',行/汽車
'汽車 鑰匙 電池 更換',行/汽車
'汽車 內飾 清潔 服務',行/汽車
'汽車 冷氣 維修',行/汽車
'汽車 暖風 系統 檢修',行/汽車
'汽車 打蠟 美容',行/汽車
'汽車 輪圈 更換',行/汽車
'車窗 隔 熱紙 貼 膜',行/汽車
'車內 導航 系統 更新',行/汽車
'自助 洗車機 使用 費',行/汽車
'車用 手機 支架 購買',行/汽車
'汽車 擋風 玻璃 修 復',行/汽車
'汽車 避震器 更換',行/汽車
'汽車 剎車盤 維修',行/汽車
'車內 地毯 清洗 服務',行/汽車
'汽車 遙控器 購買',行/汽車
'車內 急救箱 購買',行/汽車
'汽車 應急 電源 購買',行/汽車
'汽車 香氛 片',行/汽車
'汽車 頂架 安裝',行/汽車
'車輛 臨時 泊車 費',行/汽車
'汽車 車內 香氛 擴散器',行/汽車
'汽車 電動 窗 維修 費',行/汽車
'車內 USB 充電裝置 購買',行/汽車
'汽車 空調 系統 清洗',行/汽車
'汽車 音響 設備 升級',行/汽車
'汽車 後 備箱 儲物箱 購買',行/汽車
'汽車 車頂 行李架 安裝',行/汽車
'汽車 車窗 防爆膜 貼膜',行/汽車
'汽車 擋風 玻璃 修補費',行/汽車
'汽車 內飾 除味 服務',行/汽車
'汽車 胎壓 監測 設備 購買',行/汽車
'車用 吸塵器 購買',行/汽車
'汽車 電瓶 充電 服務',行/汽車
'汽車 內飾氛 圍燈 安裝',行/汽車
'汽車 行李箱 內墊 購買',行/汽車
'車內 手機 無線 充電 設備',行/汽車
'汽車 駕駛座 靠 墊 購買',行/汽車
'車輛 美容',行/汽車
'車內 急救包 購買',行/汽車
'遊覽車 包車 服務',行/其它
'計程車 車資',行/其它
'客運 車票',行/其它
'旅遊 巴士 票',行/其它
'停車場 月租 費',行/其它
'95 無鉛',行/其它
'95Plus 無鉛',行/其它
'95 無鉛',行/其它
'95 無鉛 汽油',行/其它
'95 無鉛 汽油',行/其它
'98 無鉛 汽油',行/其它
'Parking fee',行/其它
'九二 無鉛 汽油',行/其它
'九八 無鉛',行/其它
'九八 無鉛 汽油',行/其它
'九五 無鉛 汽油',行/其它
'停車場 收入',行/其它
'停車場 費用',行/其它
停車費,行/其它
'停車 費用',行/其它
'業外 收入 停車場 新光三越 停車場 收入',行/其它
'旅遊 巴士 導覽 行程',行/其它
'城市 觀光 小火 車票',行/其它
'豪華郵輪 船票',行/其它
'客運 提早 訂票 折扣',行/其它
'客運 站 內 行李 寄放 費',行/其它
'城市 共享 電動 滑板 車 租賃',行/其它
'路邊 停車場 掃碼 繳費',行/其它
'碼頭 輪 渡船 票',行/其它
'夜間 計程車 加成 費',行/其它
'長途 大巴 豪華 座票',行/其它
'觀光 遊覽車 租賃 費',行/其它
'碼頭 渡輪票',行/其它
'城市 觀光 巴士 票',行/其它
'長途 大巴 車票',行/其它
'旅遊 巴士 行程',行/其它
'共享 電動 滑板 車費用',行/其它
'停車場 月票',行/其它
'移動 電源 租借',行/其它
'租車 服務',行/其它
'短程 電動 車 租借 費',行/其它
'城市 輕軌 車票',行/其它
'路邊 停車場 計時費',行/其它
'電動 代步 車 租賃 費',行/其它
'停車場 超時 罰款',行/其它
'碼頭 貨物托運 服務',行/其它
